"","plot","x","y","block_BS.mod","TOTAL_cm","AHOR_cm","REDOX_cm"
"254",254,15,2,"D",40,21.5,7
"255",255,15,3,"D",43,23,14
"256",256,15,4,"D",38.5,24,21
"257",257,15,5,"D",36.5,28,9
"258",258,15,6,"D",40,24.5,27
"259",259,15,7,"D",40,27.5,28
"260",260,15,8,"D",38.5,25,16
"261",261,15,9,"D",39,24,25
"262",262,15,10,"D",39.5,22,32
"263",263,15,11,"D",39,26.5,36.5
"264",264,15,12,"D",37,24.5,22.5
"265",265,15,13,"D",37.5,29,11
"266",266,15,14,"D",39,24.5,12
"267",267,15,15,"D",40.5,22.5,17
"268",268,15,16,"D",39.5,21,27
"269",269,15,17,"D",40,24.5,NA
"270",270,15,18,"D",40.5,31,NA
"271",271,16,1,"D",40.5,25,16
"272",272,16,2,"D",41,27.5,NA
"273",273,16,3,"D",38.5,26.5,37
"274",274,16,4,"D",39.5,18,26.5
"275",275,16,5,"D",39,21.5,20.5
"276",276,16,6,"D",40,25.5,21
"277",277,16,7,"D",40,28.5,22.5
"278",278,16,8,"D",40,24,15.5
"279",279,16,9,"D",39.5,23,32
"280",280,16,10,"D",39,26.5,34
"281",281,16,11,"D",39.5,29,10.5
"282",282,16,12,"D",39,26,29.5
"283",283,16,13,"D",39,20,34
"284",284,16,14,"D",36,28,11
"285",285,16,15,"D",38.5,28,12
"286",286,16,16,"D",39,23.5,15
"287",287,16,17,"D",40,24,18.5
"288",288,16,18,"D",39,26.5,23.5
"289",289,17,1,"E",40,30,19
"290",290,17,2,"E",40.5,27,20
"291",291,17,3,"E",38.5,25,24.5
"292",292,17,4,"E",40,28.5,13
"293",293,17,5,"E",39.5,22,8.5
"294",294,17,6,"E",41,26.5,33
"295",295,17,7,"E",38.5,26.5,32
"296",296,17,8,"E",39.5,27.5,19
"297",297,17,9,"E",41,27,NA
"298",298,17,10,"E",40,26.5,37
"299",299,17,11,"E",40,27,18.5
"300",300,17,12,"E",39.5,28,19
"301",301,17,13,"E",40.5,22.5,3
"302",302,17,14,"E",40,26,25
"303",303,17,15,"E",40,27.5,25.5
"304",304,17,16,"E",39.5,27,32.5
"305",305,17,17,"E",40.5,16,28.5
"306",306,17,18,"E",40,26.5,24
"307",307,18,1,"E",39.5,30.5,22.5
"308",308,18,2,"E",39.5,29.5,19
"309",309,18,3,"E",37.5,22.5,11
"310",310,18,4,"E",38,24.5,NA
"311",311,18,5,"E",38.5,28.5,NA
"312",312,18,6,"E",38.5,25.5,30
"313",313,18,7,"E",38.5,32.5,27
"314",314,18,8,"E",41.5,27,NA
"315",315,18,9,"E",39,30,NA
"316",316,18,10,"E",41,34,17
"317",317,18,11,"E",39,29.5,27
"318",318,18,12,"E",40,26.5,NA
"319",319,18,13,"E",39,23.5,20.5
"320",320,18,14,"E",38,27.5,32.5
"321",321,18,15,"E",39.5,27,27
"322",322,18,16,"E",38,25,14.5
"323",323,18,17,"E",39,27.5,21
"324",324,18,18,"E",39,31.5,25
"325",325,19,1,"E",40,23,19
"326",326,19,2,"E",39.5,30,30
"327",327,19,3,"E",40.5,25.5,9
"328",328,19,4,"E",38.5,21.5,23
"329",329,19,5,"E",40,26,5.5
"330",330,19,6,"E",34,22.5,8.5
"331",331,19,7,"E",38.5,28.5,28
"332",332,19,8,"E",39,25,36
"333",333,19,9,"E",37.5,26.5,36
"334",334,19,10,"E",40,21.5,25
"335",335,19,11,"E",39.5,30,NA
"336",336,19,12,"E",40.5,29.5,NA
"337",337,19,13,"E",38.5,22,33
"338",338,19,14,"E",37.5,27.5,20
"339",339,19,15,"E",39.5,26,29
"340",340,19,16,"E",41.5,23.5,21.5
"341",341,19,17,"E",40,33,12
"342",342,19,18,"E",39.5,25,12.5
"343",343,20,1,"",39.5,13.5,13
"344",344,20,2,"E",39,21.5,16
"345",345,20,3,"E",38.33,22.67,16.5
"346",346,20,4,"E",40,22.5,20
"347",347,20,5,"E",38.5,28,16.5
"348",348,20,6,"",40,14.5,27
"349",349,20,7,"",39,20,9.5
"350",350,20,8,"E",36,23,30
"351",351,20,9,"E",38.5,25.5,33
"352",352,20,10,"E",39.5,23.5,38
"353",353,20,11,"E",39,24,26
"354",354,20,12,"E",40.5,21.5,NA
"355",355,20,13,"E",39.5,24.5,27.5
"356",356,20,14,"E",40.5,26,22.5
"357",357,20,15,"E",41.5,26,31.5
"358",358,20,16,"E",39.5,25.5,14
"359",359,20,17,"E",38.5,31.5,4.5
"360",360,20,18,"E",38,25.5,8.5
"361",361,21,2,"F",40,30,14
"362",362,21,3,"F",38.5,15,18
"363",363,21,4,"F",39.5,22,11
"364",364,21,5,"F",38,21,16.5
"365",365,21,6,"F",40,26.5,14.5
"366",366,21,7,"F",39.5,18,11
"367",367,21,8,"F",40,20,14.5
"368",368,21,9,"F",40,24.5,21.5
"369",369,21,10,"F",40,24.5,23.5
"370",370,21,11,"F",41.5,27.5,23.5
"371",371,21,12,"",41,30.5,21.5
"372",372,21,13,"F",40.5,23.5,25
"373",373,21,14,"F",38,26.5,13.5
"374",374,21,15,"F",41,18.5,17.5
"375",375,21,16,"F",40,29.5,9
"376",376,21,17,"F",39.5,26,9.5
"377",377,21,18,"",41.5,34,9.5
"378",378,22,3,"F",37.5,26,13.5
"379",379,22,4,"F",38.5,24,16.5
"380",380,22,5,"F",39,19,19.5
"381",381,22,6,"F",37.5,15.5,15
"382",382,22,7,"F",40.5,13.5,19
"383",383,22,8,"F",39.5,30,10
"384",384,22,9,"F",39,27,NA
"385",385,22,10,"F",39.5,26.5,37
"386",386,22,11,"F",38.5,26.5,37
"387",387,22,12,"F",33.5,20,26
"388",388,22,13,"F",38,27,5.5
"389",389,22,14,"F",36.5,28,18
"390",390,22,15,"F",40.5,27.5,15
"391",391,22,16,"F",41.5,13.5,7
"392",392,22,17,"F",41.5,28.5,3.5
"393",393,22,18,"",35.5,34,27
"394",394,23,4,"F",40.5,27,5
"395",395,23,5,"F",40.5,29,11.5
"396",396,23,6,"F",41.5,21,11
"397",397,23,7,"F",41.5,28,20
"398",398,23,8,"F",40.5,25.5,22
"399",399,23,9,"F",40.5,27,13
"400",400,23,10,"F",40,27,13
"401",401,23,11,"F",39,24,9.5
"402",402,23,12,"F",40,27,14.5
"403",403,23,13,"F",40,26.5,12
"404",404,23,14,"",40,32.5,11.5
"405",405,23,15,"",40.5,32,17.5
"406",406,23,16,"",41,35,12.5
"407",407,23,17,"F",40.5,28,8.5
"408",408,24,5,"F",39,14.5,4
"409",409,24,6,"F",NA,NA,NA
"410",410,24,7,"F",40.5,25.5,7.5
"411",411,24,8,"F",37,22,11.5
"412",412,24,9,"F",40,24.5,3
"413",413,24,10,"F",36.5,21.5,16.5
"414",414,24,11,"F",39,20.5,22
"415",415,24,12,"F",38.5,23.5,12
"416",416,24,13,"F",39,20,5
"417",417,24,14,"F",39.5,22.5,16.5
"418",418,24,15,"F",41,20.5,10
"419",419,24,16,"F",39,19,29
"420",420,25,6,"F",40.5,17.5,5
